ID,scalar,alpha,number_of_orthogroups,mean_orthogroup_size,RF
1,0.22,0.710969405,5002,57,106
2,0.268,0.77504886,5006,56.9,92
3,0.316,0.923929562,5002,57,106
4,0.364,1.006101511,5001,57,104
5,0.412,0.396578983,5003,57,102
6,0.46,0.755778961,5006,56.9,100
7,0.508,0.866696182,5010,56.9,92
8,0.556,1.293406849,5066,56.2,92
9,0.604,1.011581437,5051,56.4,86
10,0.652,0.91049232,5053,56.4,92
11,0.7,0.984016623,5081,56.1,90
12,0.748,0.900844343,5151,55.3,86
13,0.796,1.060397417,5248,54.2,82
14,0.844,0.932863631,5224,54.5,88
15,0.892,1.14488386,5467,52,84
16,0.94,0.590211022,5104,55.8,90
17,0.988,1.365419695,5793,48.9,78
18,1.036,0.985562058,5638,50.3,68
19,1.084,1.371140601,6683,42.1,64
20,1.132,0.911514166,5728,49.5,68
21,1.18,0.886814832,5663,50,72
22,1.228,0.729319275,5323,53.4,86
23,1.276,0.697947988,5463,51.9,74
24,1.324,0.767915349,5598,50.6,70
25,1.372,1.548176324,10301,26.7,58
26,1.42,0.647310368,5467,51.9,70
27,1.468,1.315018048,8135,34.2,56
28,1.516,1.643930988,12695,21.3,54
29,1.564,1.294283628,10066,27.3,56
30,1.612,0.902657841,7248,38.6,54
31,1.66,0.997607167,7887,35.2,58
32,1.708,0.443310964,5271,53.9,66
33,1.756,1.347518929,13835,19.3,52
34,1.804,1.19988,15055,17.5,52
35,1.852,0.694489502,6371,44.1,68
36,1.9,1.11927515,11828,22.9,52
37,1.948,0.778235074,6974,40.1,60
38,1.996,0.824271143,8073,34.3,60
39,2.044,0.902657841,9341,29.3,54
40,2.092,0.927473678,11246,23.9,52
41,2.14,0.783382308,8345,33,58
42,2.188,1.016129363,14927,17.2,48
43,2.236,0.80829029,10726,25.2,50
44,2.284,1.336390693,20102,11.2,38
45,2.332,0.476972381,5904,47.8,62
46,2.38,0.848762715,11393,23.6,50
47,2.428,1.011330367,16619,15.2,48
48,2.476,0.942621135,15232,16.9,46
49,2.524,0.697947988,8665,31.6,48
50,2.572,0.707665446,9003,30.4,52
51,2.62,1.138929983,18977,12.1,40
52,2.668,0.647310368,9105,29.9,48
53,2.716,0.796614688,11500,23.2,52
54,2.764,0.565679604,7121,39.1,58
55,2.812,1.201171423,20327,11.1,42
56,2.86,1.044760658,19226,12.2,46
57,2.908,0.76479488,12448,21.1,54
58,2.956,1.035245078,20530,10.7,42
59,3.004,1.194508597,20543,10.7,46
60,3.052,0.811135953,17560,13.8,42
61,3.1,1.125260066,22065,9,42
62,3.148,0.684904267,11153,23.7,44
63,3.196,0.779436046,15784,15.7,44
64,3.244,0.571391823,9860,27.1,46
65,3.292,1.287613612,22718,8.3,32
66,3.34,0.832732645,19062,12,38
67,3.388,0.689744494,13781,18.6,46
68,3.436,1.335207184,24510,7.2,36
69,3.484,0.634647339,13570,18.9,44
70,3.532,1.157767698,24729,7.1,42
71,3.58,0.557803507,10570,25.2,50
72,3.628,0.888389463,20874,10.1,36
73,3.676,0.832093646,19561,11.2,34
74,3.724,1.231694968,26859,6.1,40
75,3.772,0.91049232,21285,9.7,38
76,3.82,1.017549241,24561,7.2,46
77,3.868,0.662956868,14961,17,40
78,3.916,1.189140688,27990,5.6,44
79,3.964,1.091354163,27593,5.7,38
80,4.012,1.069709012,24674,6.9,34
81,4.06,0.415850227,7077,39.2,52
82,4.108,0.777916777,19514,11.6,36
83,4.156,0.822712917,21703,8.9,50
