scalar,alpha,homo,mus,gallus,latimeria,danio,callorhinchus,petromyzon,ciona,branchiostoma,xenambulacraria,protostomia,cnidaria,placozoa,ctenophora,porifera,tai_index
0.22,0.710969405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1
0.268,0.77504886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4999,1
0.316,0.923929562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1
0.364,1.006101511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1
0.412,0.396578983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1
0.46,0.755778961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1
0.508,0.866696182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1
0.556,1.293406849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1
0.604,1.011581437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1
0.652,0.91049232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1
0.7,0.984016623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1
0.748,0.900844343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1
0.796,1.060397417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1
0.844,0.932863631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1
0.892,1.14488386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4999,1
0.94,0.590211022,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4996,1
0.988,1.365419695,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4992,1.0014
1.036,0.985562058,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4992,1.0010006
1.084,1.371140601,0,0,0,0,0,0,0,0,0,0,1,2,6,6,4985,1.0026
1.132,0.911514166,0,0,0,0,0,0,1,0,0,0,0,1,1,3,4994,1.002
1.18,0.886814832,1,0,0,0,0,0,0,0,0,0,0,2,3,1,4993,1.0036
1.228,0.729319275,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4998,1.0006
1.276,0.697947988,0,0,0,0,0,0,1,0,1,0,0,0,3,1,4994,1.003
1.324,0.767915349,0,0,0,0,0,0,0,0,0,0,1,1,3,0,4995,1.0016
1.372,1.548176324,0,0,0,0,0,1,5,1,1,0,5,12,29,6,4940,1.0244
1.42,0.647310368,0,0,0,0,0,1,0,0,0,0,1,2,2,1,4993,1.0034
1.468,1.315018048,0,0,0,0,0,0,2,0,1,1,3,11,18,7,4957,1.0144
